Band,Album,Release Date,BC-URL,Genre
Gash,Crossing the Lugubrious Plateau, ,https://glossolaliarecords.bandcamp.com/album/crossing-the-lugubrious-plateau, 
Grst,Plague Seed, ,https://glossolaliarecords.bandcamp.com/album/plague-seed, 
Lodge of the Empty Bed,Pacta Sunt Servanda, ,https://glossolaliarecords.bandcamp.com/album/pacta-sunt-servanda, 
Затухание,Затухание, ,https://glossolaliarecords.bandcamp.com/album/затухание, 
Banewreaker,Banewreaker, ,https://glossolaliarecords.bandcamp.com/album/banewreaker, 
Banewreaker,"GX Jupitter-Larsen, Johnathan Cash, Enrique Hernandez / The Strangulation of C. Olson", ,"https://glossolaliarecords.bandcamp.com/album/gx-jupitter-larsen,-johnathan-cash,-enrique-hernandez-/-the-strangulation-of-c-olson", 
Noctis,Through the Abyssal Eye, ,https://glossolaliarecords.bandcamp.com/album/through-the-abyssal-eye, 
The Will of a Million,Les Étoiles, ,https://glossolaliarecords.bandcamp.com/album/les-étoiles, 
Maestus,Voir Dire, ,https://glossolaliarecords.bandcamp.com/album/voir-dire, 
Grst,Fire Therein, ,https://glossolaliarecords.bandcamp.com/album/fire-therein, 
Grst / The Will of a Million,Grst / The Will of a Million, ,https://glossolaliarecords.bandcamp.com/album/grst-/-the-will-of-a-million, 
Hunchback,Hunch EP, ,https://glossolaliarecords.bandcamp.com/album/hunch-ep, 
Lapsed Baptist / Willowbrook,Lapsed Baptist / Willowbrook, ,https://glossolaliarecords.bandcamp.com/album/lapsed-baptist-/-willowbrook, 
Arkhum,The Skies Do Give Succor, ,https://glossolaliarecords.bandcamp.com/album/the-skies-do-give-succor, 
Dampé's Keep,Dampé's Keep, ,https://glossolaliarecords.bandcamp.com/album/dampé's-keep, 
Nattlig,Tales of Ascension, ,https://glossolaliarecords.bandcamp.com/album/tales-of-ascension, 
Seme Konj,The Promise of Coffins, ,https://glossolaliarecords.bandcamp.com/album/the-promise-of-coffins, 
Chernobog & Willowbrook,Chernobog / Willowbrook, ,https://glossolaliarecords.bandcamp.com/album/chernobog-/-willowbrook, 
Maestus,Scarlet Lakes, ,https://glossolaliarecords.bandcamp.com/album/scarlet-lakes, 
Enbilulugugal,The Day After, ,https://glossolaliarecords.bandcamp.com/album/the-day-after, 
Dampé's Keep,Twilight, ,https://glossolaliarecords.bandcamp.com/album/twilight, 
Clan Dos Mortos Cicatriz / Alkmorhilyion,Clan Dos Mortos Cicatriz / Alkmorhilyion, ,https://glossolaliarecords.bandcamp.com/album/clan-dos-mortos-cicatriz-/-alkmorhilyion, 
Eternal Eclipse,Eternal Eclipse, ,https://glossolaliarecords.bandcamp.com/album/eternal-eclipse, 
Alkmorhilyion / Edasi,Alkmorhilyion / Edasi, ,https://glossolaliarecords.bandcamp.com/album/alkmorhilyion-/-edasi, 
Eternal Eclipse,Compilation, ,https://glossolaliarecords.bandcamp.com/album/compilation, 
Ninjas for Hire / Earthenwomb,II, ,https://glossolaliarecords.bandcamp.com/album/ii, 
Auspicium & Earthenwomb,Auspicium / Earthenwomb, ,https://glossolaliarecords.bandcamp.com/album/auspicium-/-earthenwomb, 
Azor Ahai,Mauve Flammen, ,https://glossolaliarecords.bandcamp.com/album/mauve-flammen, 
Fatigue,Breathing, ,https://glossolaliarecords.bandcamp.com/album/breathing, 
Impostüre / Skeld,Impostüre / Skeld, ,https://glossolaliarecords.bandcamp.com/album/impostüre-/-skeld, 
Alkmorhilyion,Droves, ,https://glossolaliarecords.bandcamp.com/album/droves, 
Gromkult & Satanvolk,Gromkult / Satanvolk, ,https://glossolaliarecords.bandcamp.com/album/gromkult-/-satanvolk, 
Amzamiviram,A, ,https://glossolaliarecords.bandcamp.com/album/a, 
σοφος,Ehecatl, ,https://glossolaliarecords.bandcamp.com/album/ehecatl, 
Terra Deep,Terra Deep, ,https://glossolaliarecords.bandcamp.com/album/terra-deep, 
Satanvolk,Skeld Prisotnost..., ,https://glossolaliarecords.bandcamp.com/album/skeld-prisotnost, 
Impostüre & Effigy in the Mausoleum,Impostüre / Effigy in the Mausoleum, ,https://glossolaliarecords.bandcamp.com/album/impostüre-/-effigy-in-the-mausoleum, 
Ninjas for Hire,Zehn Schritte in Richtung der Leere, ,https://glossolaliarecords.bandcamp.com/album/zehn-schritte-in-richtung-der-leere, 
Kellen Holte,Zombie, ,https://glossolaliarecords.bandcamp.com/album/zombie, 
The Will of a Million,A Lull, ,https://glossolaliarecords.bandcamp.com/album/a-lull, 
Mountains of Pixels,Thy Horror Unknown, ,https://glossolaliarecords.bandcamp.com/album/thy-horror-unknown, 
Various Artists,Winterfest, ,https://glossolaliarecords.bandcamp.com/album/winterfest, 
Revenants in Poveglia,Lazzaretto, ,https://glossolaliarecords.bandcamp.com/album/lazzaretto, 
Willowbrook,The Infantile Pliancy, ,https://glossolaliarecords.bandcamp.com/album/the-infantile-pliancy, 
Willowbrook,Wrongdoings of the Half-Wit, ,https://glossolaliarecords.bandcamp.com/album/wrongdoings-of-the-half-wit, 
Earthenwomb & Mors Universa,Vol. III, ,https://glossolaliarecords.bandcamp.com/album/vol-iii, 
Earthenwomb & Mors Universa,Vol. II, ,https://glossolaliarecords.bandcamp.com/album/vol-ii, 
Earthenwomb & Mors Universa,Vol. I, ,https://glossolaliarecords.bandcamp.com/album/vol-i, 
Various Artists,Exhibition the First, ,https://glossolaliarecords.bandcamp.com/album/exhibition-the-first, 
